codigo,clave,descripcion,caja,master,precio,unidad,ean,precio minimo de venta,alta rotacion,precio mayoreo con IVA,precio distribuidor con IVA,precio publico con IVA,precio mayoreo sin IVA,precio distribuidor sin IVA,precio publico sin IVA,Marca,Precio Medio Mayoreo sin IVA,Precio Medio Mayoreo con IVA,Codigo SAT,Descripcion SAT,Familia,Descripcion Familia,Peso[Kg],Volumen[cm3]
43830,JAL-0321,Jaladera de acero 96 mm estilo 'Cilindro' laton brillante,12,96,33,Pieza,7.51E+12,21,0,27,21,33,23.28,18.1,28.45,Hermex,25.86,30,31162801,Chapas o pomos,P572,Perillas y jaladeras,0.16,141.348
43831,JAL-0631,Jaladera metalica de 76mm laton antiguo inserto tipo madera,12,432,39,Pieza,7.51E+12,25,0,33,25,39,28.45,21.55,33.62,Hermex,30.17,35,31162801,Chapas o pomos,P572,Perillas y jaladeras,0.05,129.992
43832,JAL-0621,Jaladera metalica 76mm laton brillante inserto tipo madera,12,432,39,Pieza,7.51E+12,25,0,33,25,39,28.45,21.55,33.62,Hermex,30.17,35,31162801,Chapas o pomos,P572,Perillas y jaladeras,0.04,125.559
43833,JAL-0651,Jaladera metalica de 76 mm laton brillante inserto ceramico,12,432,46,Pieza,7.51E+12,29,0,38,29,46,32.76,25,39.66,Hermex,36.21,42,31162801,Chapas o pomos,P572,Perillas y jaladeras,0.05,104.544
43834,JAL-0421,Jaladera metalica de 76 mm estilo 'Barroco' laton brillante,12,432,28,Pieza,7.51E+12,18,0,23,18,28,19.83,15.52,24.14,Hermex,21.55,25,31162801,Chapas o pomos,P572,Perillas y jaladeras,0.035,96.386
43835,JAL-0431,Jaladera metalica de 76 mm estilo 'Barroco' laton antiguo,12,432,28,Pieza,7.51E+12,18,0,23,18,28,19.83,15.52,24.14,Hermex,21.55,25,31162801,Chapas o pomos,P572,Perillas y jaladeras,0.035,127.048
43836,JAL-0521,Jaladera metalica de 76mm estilo 'Colonial' laton brillante,12,432,28,Pieza,7.51E+12,18,0,23,18,28,19.83,15.52,24.14,Hermex,21.55,25,31162801,Chapas o pomos,P572,Perillas y jaladeras,0.04,94.1
43837,JAL-0531,Jaladera metalica de 76 mm estilo 'Colonial' laton antiguo,12,432,28,Pieza,7.51E+12,18,0,23,18,28,19.83,15.52,24.14,Hermex,21.55,25,31162801,Chapas o pomos,P572,Perillas y jaladeras,0.038,124.822
43870,JAL-0313,Jaladera de acero 160 mm estilo 'Cilindro' niquel satinado,12,96,39,Pieza,7.51E+12,25,0,33,25,39,28.45,21.55,33.62,Hermex,30.17,35,31162801,Chapas o pomos,P572,Perillas y jaladeras,0.22,183.917
43871,JAL-0314,Jaladera de acero 192 mm estilo 'Cilindro' niquel satinado,12,96,46,Pieza,7.51E+12,29,0,38,29,46,32.76,25,39.66,Hermex,36.21,42,31162801,Chapas o pomos,P572,Perillas y jaladeras,0.24,189.771
43872,JAL-0323,Jaladera de acero 160 mm estilo 'Cilindro' laton brillante,12,96,39,Pieza,7.51E+12,25,0,33,25,39,28.45,21.55,33.62,Hermex,30.17,35,31162801,Chapas o pomos,P572,Perillas y jaladeras,0.22,180.351
43873,JAL-0324,Jaladera de acero 192 mm estilo 'Cilindro' laton brillante,12,96,46,Pieza,7.51E+12,29,0,38,29,46,32.76,25,39.66,Hermex,36.21,42,31162801,Chapas o pomos,P572,Perillas y jaladeras,0.25,181.896
43900,PER-091,Perilla metalica estilo 'Andamio' acabado niquel satinado,12,360,36,Pieza,7.51E+12,23,0,30,23,36,25.86,19.83,31.03,Hermex,28.45,33,31162801,Chapas o pomos,P572,Perillas y jaladeras,0.04,72.561
43901,JAL-0911,Jaladera metalica de 96 mm estilo 'Andamio' niquel satinado,12,288,46,Pieza,7.51E+12,29,0,38,29,46,32.76,25,39.66,Hermex,36.21,42,31162801,Chapas o pomos,P572,Perillas y jaladeras,0.06,129.89
43902,JAL-0912,Jaladera metalica de 128mm estilo 'Andamio' niquel satinado,12,288,55,Pieza,7.51E+12,35,0,45,35,55,38.79,30.17,47.41,Hermex,42.24,49,31162801,Chapas o pomos,P572,Perillas y jaladeras,0.07,128.34
43905,PER-092,Perilla metalica estilo 'Andamio' acabado laton brillante,12,360,36,Pieza,7.51E+12,23,0,30,23,36,25.86,19.83,31.03,Hermex,28.45,33,31162801,Chapas o pomos,P572,Perillas y jaladeras,0.04,93.876
43906,JAL-0921,Jaladera metalica de 96 mm estilo 'Andamio' laton brillante,12,288,46,Pieza,7.51E+12,29,0,38,29,46,32.76,25,39.66,Hermex,36.21,42,31162801,Chapas o pomos,P572,Perillas y jaladeras,0.06,128.731
43907,JAL-0922,Jaladera metalica de 128mm estilo 'Andamio' laton brillante,12,288,55,Pieza,7.51E+12,35,0,45,35,55,38.79,30.17,47.41,Hermex,42.24,49,31162801,Chapas o pomos,P572,Perillas y jaladeras,0.06,128.284
