codigo,clave,descripcion,caja,master,precio,unidad,ean,precio minimo de venta,alta rotacion,precio mayoreo con IVA,precio distribuidor con IVA,precio publico con IVA,precio mayoreo sin IVA,precio distribuidor sin IVA,precio publico sin IVA,Marca,Precio Medio Mayoreo sin IVA,Precio Medio Mayoreo con IVA,Codigo SAT,Descripcion SAT,Familia,Descripcion Familia,Peso[Kg],Volumen[cm3]
10000,PC-PE,Pala (lampa) cuchara Peru Truper,3,0,0,Pieza,7.51E+12,95,0,*,95,*,*,81.9,*,Truper,109.48,127,27112004,Palas,P299,Palas nacionales,1.653,8414.986
100048,PET-15X,Llave ajustable (perico) 15' cromada mango de PVC Truper,4,12,515,Pieza,7.51E+12,325,0,425,325,515,366.38,280.17,443.97,Truper,400.86,465,27111707,Llaves ajustables,P085,Llaves ajustables,1.31,1660.968
100049,PET-15C,Llave ajustable (perico) 15' profesional cromada Expert,4,12,779,Pieza,7.51E+12,495,0,645,495,779,556.03,426.72,671.55,Expert,611.21,709,27111707,Llaves ajustables,P085,Llaves ajustables,1.42,1660.968
100098,REP-CUT-5X,Estuche con 10 cuchillas SK2 de 9 mm para cutter Expert,6,144,27,Set,7.51E+12,17,0,22,17,27,18.97,14.66,23.28,Expert,20.69,24,27111503,Cuchillos de diversas aplicaciones,P049,Cutters y exactos,0.03,139.554
100099,REP-CUT-6X,Estuche con 10 cuchillas SK2 de 18 mm para cutter Expert,6,144,46,Set,7.51E+12,29,0,38,29,46,32.76,25,39.66,Expert,36.21,42,27111503,Cuchillos de diversas aplicaciones,P049,Cutters y exactos,0.08,186.367
100101,REP-CUT-650,Estuche con 50 cuchillas SK4 de 18 mm para cutter Truper,2,20,125,Set,7.51E+12,79,0,105,79,125,90.52,68.1,107.76,Truper,99.14,115,27111503,Cuchillos de diversas aplicaciones,P049,Cutters y exactos,0.38,459.267
100103,ST-724X,Disco sierra 7-1/4' p/madera 24 dientes centro 5/8' Expert,3,12,305,Pieza,7.51E+12,195,0,255,195,305,219.83,168.1,262.93,Expert,240.52,279,23231200,Sierras circulares y accesorios,P129,Discos de sierra,0.32,644.779
100104,ST-740X,Disco sierra 7-1/4' p/madera 40 dientes centro 5/8' Expert,3,12,385,Pieza,7.51E+12,245,0,319,245,385,275,211.21,331.9,Expert,300.86,349,23231200,Sierras circulares y accesorios,P129,Discos de sierra,0.34,660.66
100105,ST-1040EX,Disco sierra 10' para madera 40 dientes centro 1' Expert,3,12,619,Pieza,7.51E+12,395,0,515,395,619,443.97,340.52,533.62,Expert,487.07,565,23231200,Sierras circulares y accesorios,P129,Discos de sierra,0.68,1139.761
100106,ST-1060EX,Disco sierra 10' para madera 60 dientes centro 1' Expert,3,12,745,Pieza,7.51E+12,475,0,615,475,745,530.17,409.48,642.24,Expert,585.34,679,23231200,Sierras circulares y accesorios,P129,Discos de sierra,0.7,1113.083
100107,ST-1240EX,Disco sierra 12' para madera 40 dientes centro 1' Expert,3,12,905,Pieza,7.51E+12,575,0,745,575,905,642.24,495.69,780.17,Expert,711.21,825,23231200,Sierras circulares y accesorios,P129,Discos de sierra,1.16,1546.035
100108,ST-1260EX,Disco sierra 12' para madera 60 dientes centro 1' Expert,3,12,1065,Pieza,7.51E+12,675,0,875,675,1065,754.31,581.9,918.1,Expert,831.9,965,23231200,Sierras circulares y accesorios,P129,Discos de sierra,1.175,1613.277
100109,ST-10100AX,Disco sierra 10' p/aluminio 100 dientes centro 5/8' Expert,3,12,1655,Pieza,7.51E+12,1050,0,1365,1050,1655,1176.72,905.17,1426.72,Expert,1288.79,1495,23231200,Sierras circulares y accesorios,P129,Discos de sierra,0.88,1177.092
100121,SPX-13C,Serrucho de poda 13' hoja curva 7 DPP Truper Expert,3,24,289,Pieza,7.51E+12,185,0,239,185,289,206.03,159.48,249.14,Expert,228.45,265,27111500,Herramientas de corte y engarzado y punzones,P216,Serruchos jardineros,0.25,1759.604
100122,SPX-13R,Serrucho de poda 13' hoja recta 7 DPP Truper Expert,3,24,289,Pieza,7.51E+12,185,0,239,185,289,206.03,159.48,249.14,Expert,228.45,265,27111500,Herramientas de corte y engarzado y punzones,P216,Serruchos jardineros,0.24,1789.942
100128,DILF-4120,Disco lija 4-1/2' con respaldo de fibra grano 120 Truper,5,125,17,Pieza,7.51E+12,10,0,14,10,17,12.07,8.62,14.66,Truper,13.36,15.5,27112742,Lija de disco,P515,Discos de lija,0.016,73.893
100130,REP-CUT-7X,Estuche con 10 cuchillas SK2 de 25 mm para cutter Expert,6,96,117,Set,7.51E+12,75,0,97,75,117,83.62,64.66,100.86,Expert,92.24,107,27111503,Cuchillos de diversas aplicaciones,P049,Cutters y exactos,0.18,221.958
100131,REP-CUT-650X,Estuche con 50 cuchillas SK2 de 18 mm para cutter Expert,2,20,195,Set,7.51E+12,125,0,165,125,195,142.24,107.76,168.1,Expert,154.31,179,27111503,Cuchillos de diversas aplicaciones,P049,Cutters y exactos,0.36,334.925
100139,CA-40,Cavador giratorio de acero mango 'T' 30' Truper,2,0,1150,Pieza,7.51E+12,795,0,955,795,1150,823.28,685.34,991.38,Truper,905.17,1050,21101606,Excavadoras de agujeros,P402,Cavadores Nacionales y Latam,4.9,20399.753
10014,PR-PE,Pala (lampa) recta Peru Truper,3,0,0,Pieza,7.51E+12,110,0,*,110,*,*,94.83,*,Truper,137.93,160,27112004,Palas,P299,Palas nacionales,1.98,6156.22
100142,PAR-26,Prensa de ajuste rapido 6' uso rudo cuerpo nylon Expert,2,24,315,Pieza,7.51E+12,199,0,259,199,315,223.28,171.55,271.55,Expert,245.69,285,27112100,Herramientas de sujecion y fijacion,P769,Prensas y sargentos,0.6,2783.151
100143,PAR-212,Prensa de ajuste rapido 12' uso rudo cuerpo nylon Expert,2,24,369,Pieza,7.51E+12,235,0,305,235,369,262.93,202.59,318.1,Expert,288.79,335,27112100,Herramientas de sujecion y fijacion,P769,Prensas y sargentos,0.7,3698.205
100144,PAR-224,Prensa de ajuste rapido 24' uso rudo cuerpo nylon Expert,2,12,465,Pieza,7.51E+12,295,0,385,295,465,331.9,254.31,400.86,Expert,366.38,425,27112100,Herramientas de sujecion y fijacion,P769,Prensas y sargentos,0.86,6145.44
100145,SUS-CAS,Suspension para cascos ajuste por matraca Truper,4,48,85,Pieza,7.51E+12,55,0,72,55,85,62.07,47.41,73.28,Truper,68.1,79,31162800,Ferreteria en general,P224,Cascos de seguridad,0.12,2699.91
100147,PES-X,Pala escarraman puno 'Y' mango acero Truper Expert,3,0,325,Pieza,7.51E+12,225,0,269,225,325,231.9,193.97,280.17,Expert,254.31,295,27112004,Palas,P299,Palas nacionales,2.64,6544.999
100148,MAN-30X3/4XX,Manguera 3/4' anti-torceduras 6 capas 30m conexiones d/metal,4,0,935,Pieza,7.51E+12,645,0,775,645,935,668.1,556.03,806.03,Expert,728.45,845,40142000,Mangueras,P095,Mangueras de jardin armadas,8.725,31218
100153,EST-45/50/60,Juego 2 estabilizadores calibre 15 para carretillas Truper,6,0,55,Par,7.51E+12,35,0,45,35,55,38.79,30.17,47.41,Truper,42.24,49,31162800,Ferreteria en general,P433,Refacciones de carretillas,0.5,485.597
100154,JT-TUB,Juego tornilleria chumaceras y eje para carretillas Truper,6,0,135,Juego,7.51E+12,85,0,109,85,135,93.97,73.28,116.38,Truper,102.59,119,31162800,Ferreteria en general,P433,Refacciones de carretillas,0.88,501.828
100155,JT-S,Juego de tornilleria con chumaceras para carretilla CAR-82,6,0,135,Juego,7.51E+12,85,0,109,85,135,93.97,73.28,116.38,Truper,102.59,119,31162800,Ferreteria en general,P433,Refacciones de carretillas,0.68,461.993
100156,JT-M,Juego de tornilleria con chumaceras para carretilla TP-8,6,0,135,Juego,7.51E+12,85,0,109,85,135,93.97,73.28,116.38,Truper,102.59,119,31162800,Ferreteria en general,P433,Refacciones de carretillas,0.66,516.915
100171,BOS-1LH,Bomba sumergible de hierro fundido para agua limpia 1 HP,1,0,4135,Pieza,7.51E+12,2850,0,3415,2850,4135,2943.97,2456.9,3564.66,Truper,3245.69,3765,40151500,Bombas,P146,Bombas para agua,16.63,20064
100172,ST-424,Disco sierra 4-1/2' para madera 24 dientes centro 3/8',3,36,179,Pieza,7.51E+12,115,0,149,115,179,128.45,99.14,154.31,Truper,142.24,165,23231200,Sierras circulares y accesorios,P129,Discos de sierra,0.075,138.121
100173,GA-MA-N,Gancho plastico naranja para manguera de jardin Truper,6,36,69,Pieza,7.51E+12,45,0,58,45,69,50,38.79,59.48,Truper,55.17,64,31162800,Ferreteria en general,P294,Porta mangueras,0.16,1493.438
100177,CAR-81FF,Carretilla 8 ft3 Imponchable bastidor tubular Truper,1,0,2185,Pieza,7.51E+12,1640,0,1805,1640,2185,1556.03,1413.79,1883.62,Truper,1715.52,1990,24101507,Carretillas,P432,Carretillas nacionales y Latam,18.26,116571.95
100178,CAT-60PL-FF,Carretilla concha plastica 6 ft Imponchable b/tubular Truper,1,0,1725,Pieza,7.51E+12,1295,0,1425,1295,1725,1228.45,1116.38,1487.07,Truper,1349.14,1565,24101507,Carretillas,P432,Carretillas nacionales y Latam,15.24,98192.68
100180,CU-S,Cuna plastica para carretillas CAR-82 T6-N y T-6FF Truper,6,0,55,Pieza,7.51E+12,35,0,45,35,55,38.79,30.17,47.41,Truper,42.24,49,31162800,Ferreteria en general,P433,Refacciones de carretillas,0.227,733.133
100182,E-2W,Eje largo para carretillas de 2 llantas Truper,6,0,135,Pieza,7.51E+12,85,0,109,85,135,93.97,73.28,116.38,Truper,102.59,119,31162800,Ferreteria en general,P433,Refacciones de carretillas,0.893,132.75
100197,STP-7PR,Serrucho plegable 7' hoja recta 11 DPP mango plastico Truper,4,24,135,Pieza,7.51E+12,85,0,109,85,135,93.97,73.28,116.38,Truper,102.59,119,27111500,Herramientas de corte y engarzado y punzones,P216,Serruchos jardineros,0.26,1381.42
100198,STP-10PC,Serrucho plegable 10' hoja curva 5 DPP mango plastico Truper,4,24,179,Pieza,7.51E+12,115,0,149,115,179,128.45,99.14,154.31,Truper,142.24,165,27112019,Sierra podadora,P216,Serruchos jardineros,0.34,1748.499
100250,COMBOE-4580ALF,Esmeriladora 4-1/2' 850 W lentes de seguridad y flexometro,1,4,895,Set,7.51E+12,675,0,745,675,895,642.24,581.9,771.55,Truper,702.59,815,31162800,Ferreteria en general,P097,Maquinas portatiles,2.86,8085
100258,BA-PAT,Balero de bolas para patin traspaleta Truper,1,8,72,Pieza,7.51E+12,49,0,58,49,72,50,42.24,62.07,Truper,55.17,64,24101700,Transportadores y accesorios,P217,Gatos de patin,0.1,174.72
100276,Ext-1000,Extintor portatil recargable 1 kg polvo tipo ABC Truper,2,10,369,Pieza,7.51E+12,235,0,305,235,369,262.93,202.59,318.1,Truper,288.79,335,31162800,Ferreteria en general,P593,Extintores,1.88,5512.536
100288,CAB-300A,Cable para SOIN-250 y SOMU-250X con pinza de tierra Truper,1,6,1375,Set,7.51E+12,945,0,1150,945,1375,991.38,814.66,1185.34,Truper,1077.59,1250,31162800,Ferreteria en general,P228,Accesorios para soldar,2.34,9893.53
100293,LEDE-SN-R,Lentes de seguridad gris con banda elastica Active Truper,6,264,77,Pieza,7.51E+12,49,0,64,49,77,55.17,42.24,66.38,Truper,59.48,69,46181811,Lentes protectores,P222,Goggles y Lentes,0.04,405.654
100300,COMP-KIT25,Kit Compresor de aire 25L 3HP manguera y pistola Truper,1,0,4595,Set,7.51E+12,3450,0,3795,3450,4595,3271.55,2974.14,3961.21,Truper,3599.14,4175,40151616,Kits de compresores,P041,Compresores,27.82,121062.75
100334,EM-50,Engrapadora tipo martillo uso rudo Truper,4,16,615,Pieza,7.51E+12,425,0,509,425,615,438.79,366.38,530.17,Truper,481.9,559,31162800,Ferreteria en general,P151,Engrapadoras,0.98,1758.48
100353,PROCA-N,Protector solar plegable para casco naranja con reflejante,5,25,135,Pieza,7.51E+12,85,0,109,85,135,93.97,73.28,116.38,Truper,102.59,119,39121719,Protectores,P224,Cascos de seguridad,0.1,631.04
100354,PROCA-V,Protector solar plegable para casco verde con reflejante,5,25,135,Pieza,7.51E+12,85,0,109,85,135,93.97,73.28,116.38,Truper,102.59,119,39121719,Protectores,P224,Cascos de seguridad,0.103,635.675
100360,MUT-36,Multimetro digital profesional Truper,2,16,525,Pieza,7.51E+12,365,0,435,365,525,375,314.66,452.59,Truper,418.1,485,41113630,Multimetros,P166,Multimetros,0.34,1672.031
100361,MUT-50A,Multimetro profesional con RMS verdadero y auto rango,2,16,765,Pieza,7.51E+12,525,0,625,525,765,538.79,452.59,659.48,Truper,599.14,695,41113630,Multimetros,P166,Multimetros,0.36,1672.031
100362,MUT-60A,Multimetro profesional con RMS verdadero y auto rango Deluxe,2,4,1050,Pieza,7.51E+12,725,0,865,725,1050,745.69,625,905.17,Truper,823.28,955,41113630,Multimetros,P166,Multimetros,0.54,3143.36
100370,LIBA-4X24N3,Lijadora de banda 4 X 24' 1200 W industrial Truper,1,3,3350,Pieza,7.51E+12,2550,0,2795,2550,3350,2409.48,2198.28,2887.93,Expert,2629.31,3050,31162800,Ferreteria en general,P097,Maquinas portatiles,7.06,28507.298
100416,CAT 50X,Carretilla 5.5ft3 Imponchable bastidor tubular Truper Expert,1,0,1985,Pieza,7.51E+12,1490,0,1635,1490,1985,1409.48,1284.48,1711.21,Expert,1556.03,1805,24101507,Carretillas,P432,Carretillas nacionales y Latam,19.66,64802.836
100417,CAT 60X,Carretilla 6ft3 Imponchable bastidor tubular Truper Expert,1,0,2190,Pieza,7.51E+12,1650,0,1815,1650,2190,1564.66,1422.41,1887.93,Expert,1715.52,1990,24101507,Carretillas,P432,Carretillas nacionales y Latam,21.34,85195.013
100430,BOAC-1A,Bomba centrifuga para agua 1 HP Truper,1,0,1985,Pieza,7.51E+12,1490,0,1635,1490,1985,1409.48,1284.48,1711.21,Truper,1547.41,1795,40151503,Bombas centrifugas,P146,Bombas para agua,14.6,15993.6
100433,BOAC-1AX,Bomba centrifuga para agua 1 HP Truper Expert,1,0,2250,Pieza,7.51E+12,1690,0,1850,1690,2250,1594.83,1456.9,1939.66,Expert,1767.24,2050,40151503,Bombas centrifugas,P146,Bombas para agua,16.62,16540.992
100435,AFI-TIJ,Afilador para herramientas de corte Truper,6,96,109,Pieza,7.51E+12,69,0,89,69,109,76.72,59.48,93.97,Truper,85.34,99,27111554,Afilador de cuchillas,P774,Afiladores,0.04,300.006
100436,POLI-9,Lijadora manual base de aluminio 8 x 24 cm Truper,4,24,215,Pieza,7.51E+12,135,0,175,135,215,150.86,116.38,185.34,Truper,168.1,195,31162800,Ferreteria en general,P149,Lijas,0.32,2255.304
100495,ESMU-112,Escalera multiposicion 12 peldanos Tipo I Truper,1,0,3150,Pieza,7.51E+12,2150,0,2550,2150,3150,2198.28,1853.45,2715.52,Truper,2456.9,2850,30191500,Escaleras y andamios,P539,Escaleras,16.9,94601.6
100503,PUN-7PH1,Estuche con 7 puntas de cruz combinadas largo 1' Expert,6,72,39,Set,7.51E+12,25,0,33,25,39,28.45,21.55,33.62,Expert,31.03,36,27113200,Juegos de herramientas,P118,Puntas para desarmador,0.04,134.712
100504,PUN-7PH2,Estuche con 7 puntas de cruz combinadas largo 2' Expert,6,72,69,Set,7.51E+12,45,0,58,45,69,50,38.79,59.48,Expert,55.17,64,27113200,Juegos de herramientas,P118,Puntas para desarmador,0.1,200.624
100505,PUN-6PL1,Estuche con 6 puntas planas combinadas largo 1' Expert,6,72,39,Set,7.51E+12,25,0,33,25,39,28.45,21.55,33.62,Expert,31.03,36,27113200,Juegos de herramientas,P118,Puntas para desarmador,0.04,139.629
100506,PUN-6PL2,Estuche con 6 puntas planas combinadas largo 2' Expert,6,72,62,Set,7.51E+12,39,0,49,39,62,42.24,33.62,53.45,Expert,47.41,55,27113200,Juegos de herramientas,P118,Puntas para desarmador,0.1,199.923
100515,SN-KIT3,Sistema de nivelacion para azulejos Truper,1,8,499,Set,7.51E+12,345,0,415,345,499,357.76,297.41,430.17,Truper,392.24,455,31162800,Ferreteria en general,P288,Separadores de loseta,1.64,18762.744
100516,SN-PI20,Pinza niveladora de azulejos Truper,3,36,179,Pieza,7.51E+12,115,0,149,115,179,128.45,99.14,154.31,Truper,142.24,165,31162800,Ferreteria en general,P288,Separadores de loseta,0.42,4810.391
100518,SN-CU16,Bolsa con 100 cunas para nivelacion de azulejos Truper,4,36,117,Pieza,7.51E+12,75,0,99,75,117,85.34,64.66,100.86,Truper,90.52,105,31162800,Ferreteria en general,P288,Separadores de loseta,0.525,3369.001
100650,RA-LE,Raspador de lechada Truper,6,48,95,Pieza,7.51E+12,59,0,77,59,95,66.38,50.86,81.9,Truper,73.28,85,31162800,Ferreteria en general,P775,Raspadores de lechada,0.12,1059.881
100652,TF-112,Tijera para ramas 38 cm tipo California mangos de aluminio,3,12,225,Pieza,7.51E+12,155,0,185,155,225,159.48,133.62,193.97,Truper,176.72,205,44121618,Tijeras,P782,Tijeras a dos manos y cortadores de ramas altas,0.38,1721.97
100655,T-460-12B,Machete rambo 12' cacha inyectada negra Truper,4,60,99,Pieza,7.51E+12,69,0,82,69,99,70.69,59.48,85.34,Truper,79.31,92,27112001,Machetes,P092,Machetes,0.31,588.924
100662,T275-5X,Pinza 5' de corte para electronica Truper Expert,6,36,109,Pieza,7.51E+12,69,0,89,69,109,76.72,59.48,93.97,Expert,85.34,99,27112105,Pinzas,P267,Pinzas pela cables corta cables y para electronica,0.08,523.675
10067,BOMEX-25,Bomba extractora de aceites con manivela Truper,1,4,865,Pieza,7.50E+12,595,0,715,595,865,616.38,512.93,745.69,Truper,676.72,785,40151500,Bombas,P297,Bombas de Extraccion,3.64,8950.3
100679,GRIP-CAT,Juego de 2 punos para carretillas con bastidor tubular,6,36,39,Juego,7.51E+12,25,0,32,25,39,27.59,21.55,33.62,Truper,30.17,35,31162800,Ferreteria en general,P433,Refacciones de carretillas,0.12,958.84
100696,JOY-Y03,Desarmador de precision punta triwing Y000 mango ergonomico,6,72,22,Pieza,7.51E+12,13,0,18.5,13,22,15.95,11.21,18.97,Truper,17.24,20,27111701,Destornilladores,P253,Desarmadores,0.02,290.696
100697,JOY-E1,Desarmador de precision pentalobe PL1 mango ergonomico,6,72,22,Pieza,7.51E+12,13,0,18.5,13,22,15.95,11.21,18.97,Truper,17.24,20,27111701,Destornilladores,P253,Desarmadores,0.02,286.253
100733,RE-TI,Remachadora de uso rudo tipo tijera 13' Truper,3,18,385,Pieza,7.51E+12,265,0,315,265,385,271.55,228.45,331.9,Truper,297.41,345,31162800,Ferreteria en general,P123,Remachadoras,0.9,2912.558
100752,A2C,Azadon dos cuernos con mango de madera 54' Truper,6,0,179,Pieza,7.51E+12,115,0,149,115,179,128.45,99.14,154.31,Truper,142.24,165,27112002,Azadones,P739,Azadones de zanco,0.767,6736.086
100754,CO-80P,Concha plastica para carretilla TP-8 Truper,1,0,795,Pieza,7.51E+12,545,0,655,545,795,564.66,469.83,685.34,Truper,616.38,715,31162800,Ferreteria en general,P433,Refacciones de carretillas,6.2,33117
100777,CAIMAN-T,Blister con 2 caimanes para cables pasa corriente Truper,3,48,92,Set,7.51E+12,59,0,76,59,92,65.52,50.86,79.31,Truper,72.41,84,39121441,Cable de puente electrico,P158,Cables pasa corriente,0.267,1612.5
100778,BOT-1,Bomba autocebante para uso con taladro Truper,2,60,275,Pieza,7.51E+12,175,0,225,175,275,193.97,150.86,237.07,Truper,214.66,249,31162800,Ferreteria en general,P146,Bombas para agua,0.26,2449.5
100779,CLNE-18E,Clavadora y engrapadora neumatica profesional calibre 18,1,5,1125,Pieza,7.51E+12,775,0,925,775,1125,797.41,668.1,969.83,Truper,883.62,1025,31162800,Ferreteria en general,P290,Engrapadoras y clavadoras neumaticas,2.38,9401.885
100785,JM-HO,Juego 7 piezas de martillos y entibadores para hojalatero,1,4,1815,Set,7.51E+12,1250,0,1495,1250,1815,1288.79,1077.59,1564.66,Truper,1422.41,1650,27113200,Juegos de herramientas,P203,Herramientas automotrices,6.6,16313.67
100787,BASE-50M,Bascula electronica para equipaje de pilas 50 kg Truper,3,96,185,Pieza,7.51E+12,125,0,149,125,185,128.45,107.76,159.48,Truper,142.24,165,41111500,Instrumentos de medicion del peso,P666,Basculas,0.12,886.73
100788,BASE-300C,Bascula electronica colgante de pilas 300 kg Truper,1,20,1415,Pieza,7.51E+12,975,0,1165,975,1415,1004.31,840.52,1219.83,Truper,1107.76,1285,41111500,Instrumentos de medicion del peso,P666,Basculas,0.825,2296.044
10079,CAT-15FF,Carretilla 5 ft3 Imponchable bastidor tubular Truper,1,0,1790,Pieza,7.51E+12,1345,0,1475,1345,1790,1271.55,1159.48,1543.1,Truper,1400.86,1625,24101507,Carretillas,P432,Carretillas nacionales y Latam,17.02,76569.193
100811,NL-TRI-150,Tripie telescopico para nivel laser altura max. 1.45 m,2,4,995,Pieza,7.51E+12,745,0,815,745,995,702.59,642.24,857.76,Truper,780.17,905,31162800,Ferreteria en general,P770,Niveles y medidores laser,1.615,17817.525
100812,LEN-NL-V,Lentes de seguridad para laser verde Truper,2,36,175,Pieza,7.51E+12,110,0,145,110,175,125,94.83,150.86,Truper,135.34,157,46181811,Lentes protectores,P222,Goggles y Lentes,0.08,2040.366
100815,KITB-5X,Juego de 4 brocasierras bimetalicas y 1 mandril Expert,2,16,665,Set,7.51E+12,425,0,555,425,665,478.45,366.38,573.28,Expert,521.55,605,31162800,Ferreteria en general,P506,Brocasierras bimetalicas,0.64,2753.478
100816,KITB-3X,Juego de 3 piezas para instalar cerraduras Truper Expert,2,16,369,Set,7.51E+12,235,0,305,235,369,262.93,202.59,318.1,Expert,288.79,335,31162800,Ferreteria en general,P506,Brocasierras bimetalicas,0.3,2125.732
100817,LLJ-140T,Llave para manguera de laton 140 g 1/2' a granel Truper,6,144,89,Pieza,7.51E+12,62,0,74,62,89,63.79,53.45,76.72,Truper,70.69,82,31162800,Ferreteria en general,P177,Llaves de jardin,0.13,214.513
100825,PROSO-1M,Proteccion para soldar peto de mezclilla Truper,5,50,119,Pieza,7.51E+12,75,0,99,75,119,85.34,64.66,102.59,Truper,90.52,105,46181700,Protectores de cara y cabeza,P562,Caretas gafas y protectores de carnaza,0.189,839.35
100826,PROSO-2M,Proteccion para soldar mangas de mezclilla Truper,5,50,125,Par,7.51E+12,79,0,105,79,125,90.52,68.1,107.76,Truper,99.14,115,46181700,Protectores de cara y cabeza,P562,Caretas gafas y protectores de carnaza,0.208,795.53
100827,PROSO-4M,Proteccion para soldar capucha de mezclilla Truper,5,50,102,Pieza,7.51E+12,65,0,85,65,102,73.28,56.03,87.93,Truper,79.31,92,46181700,Protectores de cara y cabeza,P562,Caretas gafas y protectores de carnaza,0.16,800.025
100850,NM-6S,Navaja auto-retractil de seguridad 7' Truper,6,48,225,Pieza,7.51E+12,145,0,189,145,225,162.93,125,193.97,Truper,176.72,205,27111500,Herramientas de corte y engarzado y punzones,P734,Navajas,0.22,836.719
100851,CT-608MR,Carda copa 3' alambre trenzado fino Multi-rosca Truper,4,24,139,Pieza,7.51E+12,89,0,115,89,139,99.14,76.72,119.83,Truper,109.48,127,31162800,Ferreteria en general,P025,Cardas,0.3,1153.625
100852,CT-610MR,Carda copa 4' alambre trenzado fino Multi-rosca Truper,4,24,219,Pieza,7.51E+12,139,0,179,139,219,154.31,119.83,188.79,Truper,171.55,199,31162800,Ferreteria en general,P025,Cardas,0.62,1772.179
100853,CT-612MR,Carda copa 5' alambre trenzado fino Multi-rosca Truper,4,16,279,Pieza,7.51E+12,179,0,235,179,279,202.59,154.31,240.52,Truper,219.83,255,31162800,Ferreteria en general,P025,Cardas,0.8,2578.146
100854,CT-608MRX,Carda copa 3' alambre trenzado grueso Multi-rosca Truper,4,24,139,Pieza,7.51E+12,89,0,115,89,139,99.14,76.72,119.83,Truper,109.48,127,31162800,Ferreteria en general,P025,Cardas,0.32,1149.885
100855,CT-610MRX,Carda copa 4' alambre trenzado grueso Multi-rosca Truper,4,24,219,Pieza,7.51E+12,139,0,179,139,219,154.31,119.83,188.79,Truper,171.55,199,31162800,Ferreteria en general,P025,Cardas,0.64,1780.333
100856,CT-612MRX,Carda copa 5' alambre trenzado grueso Multi-rosca Truper,4,16,279,Pieza,7.51E+12,179,0,235,179,279,202.59,154.31,240.52,Truper,219.83,255,31162800,Ferreteria en general,P025,Cardas,0.82,2656.636
100857,CO-508MR,Carda copa 3' alambre ondulado fino Multi-rosca Truper,4,24,109,Pieza,7.51E+12,69,0,89,69,109,76.72,59.48,93.97,Truper,85.34,99,31162800,Ferreteria en general,P025,Cardas,0.26,1213.009
100858,CO-510MR,Carda copa 4' alambre ondulado fino Multi-rosca Truper,4,24,179,Pieza,7.51E+12,115,0,149,115,179,128.45,99.14,154.31,Truper,142.24,165,31162800,Ferreteria en general,P025,Cardas,0.42,1759.296
100859,CO-512MR,Carda copa 5' alambre ondulado fino Multi-rosca Truper,4,16,259,Pieza,7.51E+12,165,0,215,165,259,185.34,142.24,223.28,Truper,202.59,235,31162800,Ferreteria en general,P025,Cardas,0.7,2923.83
100860,REF-BAS-01,Charola para bascula mecanica Truper,1,0,515,Pieza,7.51E+12,325,0,425,325,515,366.38,280.17,443.97,Truper,400.86,465,31162800,Ferreteria en general,P666,Basculas,0.8,17452.8
100861,REF-BASC-01,Charola para bascula mecanica colgante Truper,1,0,865,Pieza,7.51E+12,550,0,715,550,865,616.38,474.14,745.69,Truper,676.72,785,31162800,Ferreteria en general,P666,Basculas,1.1,17464.005
100868,RMAX-7NX,Rotomartillo SDS Max 6 kg 7 J 1100 W Truper Expert,1,0,6350,Pieza,7.51E+12,4750,0,5250,4750,6350,4525.86,4094.83,5474.14,Expert,4956.9,5750,27111515,Taladro de mano,P097,Maquinas portatiles,10.14,42017.616
100869,RMAX-15NX,Rotomartillo SDS Max 9 kg 15 J 1500 W Truper Expert,1,0,11950,Pieza,7.51E+12,8950,0,9850,8950,11950,8491.38,7715.52,10301.72,Expert,9353.45,10850,27112700,Herramientas mecanicas,P097,Maquinas portatiles,13.24,41760
100870,CO-512MRX,Carda copa 5' alambre ondulado grueso Multi-rosca Truper,4,16,259,Pieza,7.51E+12,165,0,215,165,259,185.34,142.24,223.28,Truper,202.59,235,31162800,Ferreteria en general,P025,Cardas,0.72,3161.921
100871,BASE-40T,Bascula electronica multifunciones con torreta 40 kg Truper,1,4,1815,Pieza,7.51E+12,1250,0,1495,1250,1815,1288.79,1077.59,1564.66,Truper,1422.41,1650,31162800,Ferreteria en general,P666,Basculas,3.845,29543.04
100873,D-1406-B,Dado de 3/16' 12 puntas cuadro 1/4' Truper,6,24,30,Pieza,7.51E+12,18,0,25,18,30,21.55,15.52,25.86,Truper,24.14,28,27111700,Llaves inglesas y guias,P805,Dados y accesorios 1/4',0.015,260.925
100874,D-1407-B,Dado de 7/32' 12 puntas cuadro 1/4' Truper,6,24,30,Pieza,7.51E+12,18,0,25,18,30,21.55,15.52,25.86,Truper,24.14,28,27111700,Llaves inglesas y guias,P805,Dados y accesorios 1/4',0.015,264.652
100876,D-1409-B,Dado de 9/32' 12 puntas cuadro 1/4' Truper,6,24,30,Pieza,7.51E+12,18,0,25,18,30,21.55,15.52,25.86,Truper,24.14,28,27111700,Llaves inglesas y guias,P805,Dados y accesorios 1/4',0.015,267.067
100878,D-1410-B,Dado de 5/16' 12 puntas cuadro 1/4' Truper,6,24,30,Pieza,7.51E+12,18,0,25,18,30,21.55,15.52,25.86,Truper,24.14,28,27111700,Llaves inglesas y guias,P805,Dados y accesorios 1/4',0.02,233.512
100879,D-1411-B,Dado de 11/32' 12 puntas cuadro 1/4' Truper,6,24,32,Pieza,7.51E+12,19,0,27,19,32,23.28,16.38,27.59,Truper,25,29,27111700,Llaves inglesas y guias,P805,Dados y accesorios 1/4',0.02,254.751
