44232,Abrazadera #04 (10-16mm) 3/8 - 5/8 c/10pz AB4 Fiero,AB-4,Bolsa c/10 abrazaderas sin fin reforzadas # 4 3/8 - 5/8'
44233,Abrazadera #06 (13-19mm) 1/2 - 3/4 c/10pz AB6 Fiero,AB-6,Bolsa c/10 abrazaderas sin fin reforzadas # 6 1/2 - 3/4'
44257,Abrazadera #07 (14-27mm) 9/16 - 1-1/16 c/10pz AB7 Fiero,AB-7,Bolsa c/10 abrazaderas sin fin reforzadas #7 9/16 - 1-1/16'
44234,Abrazadera #08 (16-23mm) 5/8 - 7/8 c/10pz AB8 Fiero,AB-8,Bolsa c/10 abrazaderas sin fin reforzadas # 8 5/8 - 7/8'
44235,Abrazadera #10 (19-27mm) 3/4 - 1-1/16 c/10pz AB10 Fiero,AB-10,Bolsa c/10 abrazaderas sin fin reforzadas #10 3/4 - 1-1/16'
10013,Abrazadera #10 (19-27mm) 3/4 - 1-1/16 c/2pz M10B Truper,M-10B,Bolsa c/2 abrazaderas sin fin # 10 3/4 - 1-1/16' Truper
44236,Abrazadera #12 (16-32mm) 5/8 - 1-1/4 c/10pz AB12 Fiero,AB-12,Bolsa c/10 abrazaderas sin fin reforzadas # 12 5/8 - 1-1/4'
44237,Abrazadera #16 (19-38mm) 3/4 - 1-1/2 c/10pz AB16 Fiero,AB-16,Bolsa c/10 abrazaderas sin fin reforzadas # 16 3/4 - 1-1/2'
44238,Abrazadera #20 (19-44mm) 3/4 - 1-3/4 c/10pz AB20 Fiero,AB-20,Bolsa c/10 abrazaderas sin fin reforzadas # 20 3/4 - 1-3/4'
44239,Abrazadera #24 (32-51mm) 1-1/4 - 2 c/10pz AB24 Fiero,AB-24,Bolsa c/10 abrazaderas sin fin reforzadas # 24 1-1/4 - 2'
44240,Abrazadera #28 (38-57mm) 1-1/2 - 2-1/4 c/10pz AB28 Fiero,AB-28,Bolsa c/10 abrazaderas sin fin reforzadas #28 1-1/2 -2-1/4'
44241,Abrazadera #32 (40-64mm) 1-9/16 - 2-1/2 c/5pz AB32 Fiero,AB-32,Bolsa c/5 abrazaderas sin fin reforzadas #32 1-9/16 - 2-1/2'
44242,Abrazadera #36 (46-70mm) 1-13/16 - 2-3/4 c/5pz AB36 Fiero,AB-36,Bolsa c/5 abrazaderas sin fin reforzadas #36 1-13/16 -2-3/4'
44243,Abrazadera #40 (57-76mm) 2-1/4 - 3 c/5pz AB40 Fiero,AB-40,Bolsa c/5 abrazaderas sin fin reforzadas #40 2-1/4 - 3'
44244,Abrazadera #44 (67-83mm) 2-5/8 - 3-1/4 c/5pz AB44 Fiero,AB-44,Bolsa c/5 abrazaderas sin fin reforzadas #44 2-5/8 - 3-1/4'
44249,Abrazadera #64 (91-114mm) 3-9/16 - 4-1/2 c/5pz AB64 Fiero,AB-64,Bolsa c/5 abrazaderas sin fin reforzadas #64 3-9/16-3 -1/2'
44250,Abrazadera #72 (105-127mm) 4-1/8 - 5 c/5pz AB72 Fiero,AB-72,Bolsa c/5 abrazaderas sin fin reforzadas #72 4-1/8 - 5'
44251,Abrazadera #80 (118-140mm) 4-5/8 - 5-1/2 c/5pz AB80 Fiero,AB-80,Bolsa c/5 abrazaderas sin fin reforzadas #80 4-5/8 - 5-1/2'
44253,Abrazadera #96 (141-165mm) 5-9/16 - 6-1/2 c/5pz AB96 Fiero,AB-96,Bolsa c/5 abrazaderas sin fin reforzadas #96 5-9/16 - 6-1/2'
44255,Abrazadera mini #03 (06-16mm) 1/4 - 5/8 c/10pz AB03 Fiero,AB-03,Bolsa c/10 abrazaderas mini sin fin reforzadas #3 1/4'-5/8'
44230,Abrazadera mini #04 (10-16mm) 3/8 - 5/8 c/10pz AB04 Fiero,AB-04,Bolsa c/10 abrazaderas mini sin fin reforzadas #4 3/8-5/8'
44231,Abrazadera mini #06 (13-19mm) 1/2 - 3/4 c/10pz AB06 Fiero,AB-06,Bolsa c/10 abrazaderas mini sin fin reforzadas #6 1/2-3/4'
10031,Abrazadera mini #06 (13-19mm) 1/2 - 3/4 c/4pz MINI6B Truper,MINI-6B,Bolsa c/4 mini abrazaderas sin fin # 6 1/2 - 3/4' Truper
44256,Abrazadera mini #07 (13-22mm) 1/2 - 7/8 c/10pz AB07 Fiero,AB-07,Bolsa c/10 abrazaderas mini sin fin reforzadas #7 1/2 -7/8'
46926,Abrazadera omega 010mm 3/8 c/10 pzas ao-3/8 voltech,AO-3/8,Bolsa con 10 abrazaderas 3/8' tipo omega para tubo Volteck
46923,Abrazadera omega 013mm 1/2 c/10 pzas ao-1/2 voltech,AO-1/2,Bolsa con 10 abrazaderas 1/2' tipo omega para tubo Volteck
46925,Abrazadera omega 025mm 1 c/10 pzas ao-1 voltech,AO-1,Bolsa con 10 abrazaderas 1' tipo omega para tubo Volteck
46030,Abrazadera omega 032mm 11/4 c/5 pzas ao-114 voltech,AO-114,Bolsa con 5 abrazaderas 1-1/4' tipo omega para tubo Volteck
46031,Abrazadera omega 038mm 11/2 c/5 pzas ao-112 voltech,AO-112,Bolsa con 5 abrazaderas 1-1/2' tipo omega para tubo Volteck
46032,Abrazadera omega 050mm 2 c/5 pzas ao-2 voltech,AO-2,Bolsa con 5 abrazaderas 2' tipo omega para tubo Volteck
46928,Abrazadera omega 075mm 3 c/5 pzas ao-3 voltech,AO-3,Bolsa con 5 abrazaderas 3' tipo omega para tubo Volteck
46929,Abrazadera omega 110mm 4 c/5 pzas ao-4 voltech,AO-4,Bolsa con 5 abrazaderas 4' tipo omega para tubo Volteck
10434,Abrazadera p/mango de guadana mggt26 abgt26 truper,AB-GT-26,Abrazadera para mango de madera para guadana Truper
46927,Abrazadera una 010mm 3/8 c/10 pzas au-3/8 voltech,AU-3/8,Bolsa con 10 abrazaderas 3/8' tipo una para tubo Volteck
46920,Abrazadera una 013mm 1/2 c/10 pzas au-1/2 voltech,AU-1/2,Bolsa con 10 abrazaderas 1/2' tipo una para tubo Volteck
46921,Abrazadera una 019mm 3/4 c/10 pzas au-3/4 voltech,AU-3/4,Bolsa con 10 abrazaderas 3/4' tipo una para tubo Volteck
46922,Abrazadera una 025mm 1 c/10 pzas au-1 voltech,AU-1,Bolsa con 10 abrazaderas 1' tipo una para tubo Volteck
46040,Abrazadera una 032mm 11/4 c/5 pzas au-114 voltech,AU-114,Bolsa con 5 abrazaderas 1-1/4' tipo una para tubo Volteck
46041,Abrazadera una 038mm 11/2 c/5 pzas au-112 voltech,AU-112,Bolsa con 5 abrazaderas 1-1/2' tipo una para tubo Volteck
46042,Abrazadera una 050mm 2 c/5 pzas au-2 voltech,AU-2,Bolsa con 5 abrazaderas 2' tipo una para tubo Volteck
16711,Aceite multiusos 30ml A3130 Truper,A-31-30,Aceite multiusos 30ml (1oz) Truper
16712,Aceite multiusos 90ml A3190 Truper,A-31-90,Aceite multiusos 90ml (3oz) Truper
14991,Aceite p/motor dos tiempos 02oz 60ml ACES2 Truper,ACES-2,Aceite sintetico para motor de 2 tiempos 60 ml
17624,Aceite p/motor dos tiempos 03oz 100ml ACES5 Truper,ACES-5,Aceite sintetico para motor de 2 tiempos 100 ml
17625,Aceite p/motor dos tiempos 14oz 400ml ACES20 Truper,ACES-20,Aceite sintetico para motor de 2 tiempos 400 ml
57071,Aceite rojo p/madera 480ml AMU48 Klintek,AMU-48,Aceite rojo para muebles 480 ml Klintek
14870,Aceitera pipeta flexible 180ml acef-180 truper,ACEF-180,Aceitera de 180 ml (6 oz) con aplicador flexible Truper
14872,Aceitera pipeta flexible 300ml acef-300 truper,ACEF-300,Aceitera de 300 ml (10 oz) con aplicador flexible Truper
14874,Aceitera pipeta flexible 500ml acef-500 truper,ACEF-500,Aceitera de 500 ml (17 oz) con aplicador flexible Truper
44443,Acoplador p/bola-20 aco-bola-20 fiero,ACO-BOLA-20,Acoplador para remolque para bola de 1-7/8' Truper
44442,Acoplador p/bola-35 aco-bola-35 fiero,ACO-BOLA-35,Acoplador para remolque para bola de 2' Truper
14318,Adaptador d/protector facial p/casco acpf truper,AC-PF,Adaptador de protector facial para casco Truper
46490,Adaptador de portalampara a contacto poco12 voltech,POCO-12,Adaptador de portalampara a contacto Volteck
14654,Adaptador p/rotomartillo sds plus adap-plus truper,ADAP-PLUS,Adaptador para rotomartillos SDS PLUS Truper
49305,Adaptador para poliducto macho 013mm 1/2 laton ADPO1/2M Fose,ADPO-1/2M,Adaptador macho de laton 1/2' para poliducto Foset
49306,Adaptador para poliducto macho 19mm 3/4 foset,ADPO-3/4M,Adaptador macho de laton 3/4' para poliducto Foset
45233,Aereador p/mezcladora crom AR001 Foset,AR-001,Aireador conexion hembra para cuello de mezcladora Foset
24140,Afilador de cuchillos aficu pretul,AFI-CU,Afilador de cuchillos Pretul
15147,Afilador de cuchillos aficux truper,AFI-CUX,Afilador de cuchillos Truper
44920,Alambre concertina 4 puntas 8mt 45cm pucoa45 fiero,PUCO-A45,Rollo de pua concertina alta seguridad 45 cm diametro
44465,Alambre galvanizado cal 12.5 1kg alg125 fiero,ALG-125,Kilo de alambre galvanizado calibre 12.5 Fiero
45121,Alambre galvanizado cal 14 30g alg145b fiero,ALG-145B,Rollo de 30 g de alambre galvanizado calibre 14.5 en bolsa
44466,Alambre galvanizado cal 14.5 1kg alg145 fiero,ALG-145,Kilo de alambre galvanizado calibre 14.5 Fiero
44467,Alambre galvanizado cal 16 1kg alg160 fiero,ALG-160,Kilo de alambre galvanizado calibre 16 Fiero
45117,Alambre galvanizado cal 16 30g alg160b fiero,ALG-160B,Rollo de 30 g de alambre galvanizado calibre 16 en bolsa
44468,Alambre galvanizado cal 18 1kg alg180 fiero,ALG-180,Kilo de alambre galvanizado calibre 18 Fiero
45116,Alambre galvanizado cal 18 30g alg180b fiero,ALG-180B,Rollo de 30 g de alambre galvanizado calibre 18 en bolsa
44469,Alambre galvanizado cal 20 1kg alg200 fiero,ALG-200,Kilo de alambre galvanizado calibre 20 Fiero
45115,Alambre galvanizado cal 20 30g alg200b fiero,ALG-200B,Rollo de 30 g de alambre galvanizado calibre 20 en bolsa
44470,Alambre galvanizado cal 22 1kg alg220 fiero,ALG-220,Kilo de alambre galvanizado calibre 22 Fiero
45112,Alambre galvanizado cal 22 30g alg220b fiero,ALG-220B,Rollo de 30 g de alambre galvanizado calibre 22 en bolsa
44885,Alambre pua cal 12.5 30.0kg 300mt ALPU1230 Fiero,ALPU12-30,Rollo de alambre de puas de 300 m calibre 12.5 Fiero
44884,Alambre pua cal 15.5 04.8kg 100mt ALPU15100 Fiero,ALPU15-100,Rollo de alambre de puas de 100 m calibre 15.5 Fiero
44458,Alambre recocido cal 15 1kg alre151 fiero,ALRE-151,Kilo de alambre recocido calibre 15 en rollo de 1Kg Fiero
44987,Alcayata roscada 19x060mm diam 3.3mm c/144pz ALCA60 Fiero,ALCA-60,Bolsa con 144 alcayatas roscadas de 19 X 60 Fiero
44989,Alcayata roscada 21x080mm diam 4.0mm c/144pz ALCA80 Fiero,ALCA-80,Bolsa con 144 alcayatas roscadas de 21 X 80 Fiero
44991,Alcayata roscada 22x100mm diam 4.9mm c/144pz ALCA100 Fiero,ALCA-100,Bolsa con 144 alcayatas roscadas de 22 X 100 Fiero
44992,Alcayata roscada 23x110mm diam 6.3mm c/72pz ALCA110 Fiero,ALCA-110,Bolsa con 72 alcayatas roscadas de 23 X 110 Fiero
12815,Amarrador varillas con grip am-va truper,AM-VA,Amarrador de varillas con grip Truper
14470,Ancla conexion 0.9m. ancla-9 truper,ANCLA-9,Ancla de conexion para arneses 44 x 810 mm ANSI Truper
48119,Antena aerea p/exterior 08 elem anae-8 voltech,ANAE-8,Antena aerea para TV HD 14 elementos Volteck
48121,Antena aerea p/exterior 14 elem anae-14 voltech,ANAE-14,Antena aerea para TV HD 14 elementos Volteck
48169,Antena aerea p/exterior 32 elem anae32 voltech,ANAE-32,Antena aerea para TV HD 32 elementos Volteck
48470,Antena aerea p/tv 4 elem ando-4 voltech,ANDO-4,Antena aerea para TV HD 4 elementos Volteck
48115,Antena techo giratoria 360 grados ctrl remoto angi-360 voltech,ANGI-360,Antena aerea para TV HD giratoria 360 grados con control Volteck
15455,Anzuelo p/pesca # 08 anzu08 truper,ANZU-08,Blister con 100 anzuelos para pesca # 8 Truper
15465,Anzuelo p/pesca # 15 anzu15 truper,ANZU-15,Blister con 100 anzuelos para pesca # 15 Truper
46444,Apagador cola rata apal2c voltech,APAL-2C,Interruptor de palanca con cable Volteck
46009,Apagador escalera blanco Classic APSEECL Volteck,APSE-ECL,Interruptor de tres vias linea Classic Volteck
46440,Apagador escalera marfil Economica APSEEE Volteck,APSE-EE,Interruptor de 3 vias linea Economica Volteck
48083,Apagador escalera marfil Italiana APSEEI Volteck,APSE-EI,Interruptor de 3 vias linea Italiana color marfil Volteck
46442,Apagador palanca 2 tornillos apal2 voltech,APAL-2,Interruptor de palanca 2 tornillos Volteck
46005,Apagador sencillo blanco Classic APSECL Volteck,APSE-CL,Interruptor sencillo linea Classic Volteck
48132,Apagador sencillo blanco Italiana APSEIB Volteck,APSE-IB,Interruptor sencillo linea Italiana color blanco Volteck
48322,Apagador sencillo blanco Oslo APSEOB Volteck,APSE-OB,Interruptor sencillo linea Oslo color blanco Volteck
46002,Apagador sencillo doble marfil Standard APDOS Volteck,APDO-S,Interruptor duplex de palanca Standard marfil Volteck
48084,Apagador sencillo marfil Italiana APSEI Volteck,APSE-I,Interruptor sencillo linea Italiana color marfil Volteck
46004,Apagador sencillo marfil Sobreponer ovalado APSOS Volteck,APSO-S,Interruptor de sobreponer sencillo Volteck
46000,Apagador sencillo marfil Standard APSES Volteck,APSE-S,Interruptor vertical de palanca Standard marfil Volteck
46007,Apagador sencillo triple blanco Classic APTRCL Volteck,APTR-CL,Interruptor triple linea Classic Volteck
46001,Apagador sencillo y cont 2p+t marfil Standard COAPS Volteck,COAP-S,Interruptor de palanca con contacto Standard marfil
44683,Arandela de presion pavonada 003mm 1/8 c/300pz ARAP1/8 Fiero,ARAP-1/8,Bolsa con 300 arandelas de presion de 1/8' Fiero
44684,Arandela de presion pavonada 004mm 5/32 c/300pz ARAP5/32 Fie,ARAP-5/32,Bolsa con 300 arandelas de presion de 5/32' Fiero
44685,Arandela de presion pavonada 005mm 3/16 c/200pz ARAP3/16 Fie,ARAP-3/16,Bolsa con 200 arandelas de presion de 3/16' Fiero
44686,Arandela de presion pavonada 006mm 1/4 c/200pz ARAP1/4 Fiero,ARAP-1/4,Bolsa con 200 arandelas de presion de 1/4' Fiero
44687,Arandela de presion pavonada 008mm 5/16 c/150pz ARAP5/16 Fie,ARAP-5/16,Bolsa con 150 arandelas de presion de 5/16' Fiero
44688,Arandela de presion pavonada 010mm 3/8 c/150pz ARAP3/8 Fiero,ARAP-3/8,Bolsa con 150 arandelas de presion de 3/8' Fiero
44689,Arandela de presion pavonada 011mm 7/16 c/100pz ARAP7/16 Fie,ARAP-7/16,Bolsa con 100 arandelas de presion de 7/16' Fiero
44541,Arandela plana galvanizada 004mm 5/32 c/1kg ARA5/32 Fiero,ARA-5/32,Bolsa con 1 kg de arandelas planas de 5/32' Fiero
44542,Arandela plana galvanizada 005mm 3/16 c/1kg ARA3/16 Fiero,ARA-3/16,Bolsa con 1 kg de arandelas planas de 3/16' Fiero
44543,Arandela plana galvanizada 006mm 1/4 c/1kg ARA1/4 Fiero,ARA-1/4,Bolsa con 1 kg de arandelas planas de 1/4' Fiero
44544,Arandela plana galvanizada 008mm 5/16 c/1kg ARA5/16 Fiero,ARA-5/16,Bolsa con 1 kg de arandelas planas de 5/16' Fiero
44545,Arandela plana galvanizada 010mm 3/8 c/1kg ARA3/8 Fiero,ARA-3/8,Bolsa con 1 kg de arandelas planas de 3/8' Fiero
44546,Arandela plana galvanizada 011mm 7/16 c/1kg ARA7/16 Fiero,ARA-7/16,Bolsa con 1 kg de arandelas planas de 7/16' Fiero
44547,Arandela plana galvanizada 013mm 1/2 c/1kg ARA1/2 Fiero,ARA-1/2,Bolsa con 1 kg de arandelas planas de 1/2' Fiero
47390,Arbotante decorativo arb003s volteck,ARB-003S,Arbotante decorativo cuerpo acero inox lampara no incluida
46341,Arbotante farol soportado de led arb-101l voltech,ARB-101L,Arbotante de LED 8 W tipo farol soportado negro Volteck
46346,Arbotante fijo 10w 260lm arb300lvoltech,ARB-300L,Arbotante decorativo de LED 10 W con 3 spots para bano
47286,Arbotante tipo globo arb-gl voltech,ARB-001S,Arbotante de pared tipo globo lampara no incluida Volteck
46344,Arbotante tipo globo de led arb-001l voltech,ARB-001L,Arbotante de LED 8 W tipo globo luz calida Volteck
47287,Arbotante tipo vaso arb-va voltech,ARB-002S,Arbotante de pared tipo vaso lampara no incluida Volteck
20000,Arco calador p/segueta 6 aca-6 pretul,ACA-6,Arco calador con 5 seguetas de 6-1/2' Pretul
10221,Arco calador p/segueta 6' prt,ACA-6X,Arco calador con 5 seguetas de 6-1/2' Truper
10260,Arco jardinero tubular 30 ajt-30 truper,AJT-30,Arco jardinero tubular de 30' Truper
10210,Arco junior p/segueta 6 aj-6 truper,AJ-6,Arco junior 6' para segueta Truper
10236,Arco mini aluminio p/segueta mat-12 truper,MAT-12,Mini arco 12' de aluminio para segueta Truper
20017,Arco solera p/segueta 12 aps-12 pretul,APS-12,Arco 12' de solera para segueta Pretul
10230,Arco solera p/segueta 12 prof apt-12 truper,APT-12,Arco 12' profesional ajustable de solera para segueta
10234,Arco tubular p/segueta 12 prof. att-12 truper,ATT-12,Arco 12' profesional tubular de acero para segueta Truper
19255,Armazon p/rodillo 9 estandar MAJA9 Truper,MAJA-9,Maneral de 9' con jaula para rodillo Truper
10742,Armazon p/rodillo mini 4 sin jaula MAROD371 Truper,MAROD-371,Maneral de 4' para rodillo Truper
