TRUPER,,GAFI
Claves,Descripcion,Claves,Descripcion
46923 ; AO-1/2 ; 7501206659526,Abrazadera tubo tipo omega 1/2' bolsa con 10 pzas Volteck,8287 ; 46923,Abrazadera omega 013mm 1/2 c/10 pzas ao-1/2 voltech
46925 ; AO-1 ; 7501206659540,Abrazadera de tubo tipo omega 1' bolsa con 10 pzas Volteck,8289 ; 46925,Abrazadera omega 025mm 1 c/10 pzas ao-1 voltech
46030 ; AO-114 ; 7501206681978,Abrazadera tubo tipo omega 1-1/4' bolsa con 5 pzas Volteck,189642 ; 46030,Abrazadera omega 032mm 11/4 c/5 pzas ao-114 voltech
46031 ; AO-112 ; 7501206681985,Abrazadera tubo tipo omega 1-1/2' bolsa con 5 pzas Volteck,189643 ; 46031,Abrazadera omega 038mm 11/2 c/5 pzas ao-112 voltech
46032 ; AO-2 ; 7501206681992,Abrazadera tubo tipo omega 2' bolsa con 5 pzas Volteck,189644 ; 46032,Abrazadera omega 050mm 2 c/5 pzas ao-2 voltech
46928 ; AO-3 ; 7506240621546,Abrazadera tubo tipo omega 3' bolsa con 5 pzas Volteck,198655 ; 46928,Abrazadera omega 075mm 3 c/5 pzas ao-3 voltech
46929 ; AO-4 ; 7506240621553,Abrazadera tubo tipo omega 4' bolsa con 5 pzas Volteck,198656 ; 46929,Abrazadera omega 110mm 4 c/5 pzas ao-4 voltech
10434 ; AB-GT-26 ; 7506240616382,Abrazadera para mango de madera,196939 ; 10434,Abrazadera p/mango de guadana mggt26 abgt26 truper
46927 ; AU-3/8 ; 7506240621539,Abrazadera para tubo tipo una 3/8' bolsa con 10 pzas,198653 ; 46927,Abrazadera una 010mm 3/8 c/10 pzas au-3/8 voltech
46920 ; AU-1/2 ; 7501206659496,Abrazadera de tubo tipo una 1/2' bolsa con 10 pzas Volteck,8284 ; 46920,Abrazadera una 013mm 1/2 c/10 pzas au-1/2 voltech
46921 ; AU-3/4 ; 7501206659502,Abrazadera de tubo tipo una 3/4' bolsa con 10 pzas  Volteck,8285 ; 46921,Abrazadera una 019mm 3/4 c/10 pzas au-3/4 voltech
46922 ; AU-1 ; 7501206659519,Abrazadera de tubo tipo una 1' bolsa con 10 pzas Volteck,8286 ; 46922,Abrazadera una 025mm 1 c/10 pzas au-1 voltech
46040 ; AU-114 ; 7501206682005,Abrazadera tubo tipo una 1-1/4' bolsa con 5 pzas Volteck,189639 ; 46040,Abrazadera una 032mm 11/4 c/5 pzas au-114 voltech
46041 ; AU-112 ; 7501206682036,Abrazadera tubo tipo una 1-1/2' bolsa con 5 pzas Volteck,189640 ; 46041,Abrazadera una 038mm 11/2 c/5 pzas au-112 voltech
46042 ; AU-2 ; 7501206682043,Abrazadera tubo tipo una 2' bolsa con 5 pzas Volteck,189641 ; 46042,Abrazadera una 050mm 2 c/5 pzas au-2 voltech
57045 ; ABHU-300 ; 7506240637103,Absorbedor de humedad 300 gr,205968 ; 57045,Absorbedor de humedad 300grs ABHU300 Klintek
